Post_ID,Post_Code,Owner_ID,Likes,Time_Stamp,Tags,Caption
2763681982703522744,CZakh7jMNO4,46824265642,52,1643676587,"['#appalchiantrail', '#appalachiantrailclassof2022', '#atthruhike2022', '#atthruhike', '#atsectionhike', '#atsectionhiker', '#atnobo2020', '#georgiatomaine', '#georgiatomaine2022', '#fontanalake', '#fontanadam', '#fontanahilton', '#thruhikers', '#hikewnc', '#nantahalanationalforest', '#nantahala', '#landofthenoondaysun', '#travelinglite', '#trektheat']",Went for a walk in the snow from Fontana to Wallace Gap and saw a couple of thru hikers that had registered in the shelter journal at the Fontana Hilton. The snow is manageable but there are a couple of spots with ice on the descent down into the lake. Happy Trails!<br><br>#appalchiantrail #appalachiantrailclassof2022 #atthruhike2022 #atthruhike #atsectionhike #atsectionhiker #atnobo2020 #georgiatomaine #georgiatomaine2022 #fontanalake #fontanadam #fontanahilton #thruhikers #hikewnc #nantahalanationalforest #nantahala #landofthenoondaysun #travelinglite #trektheat
2721048014267409530,CXDGsCTMOR6,18048432,361,1638594222,"['#appalachiantrail', '#AT2020', '#ATnobo2020', '#ATFlipFlop2020', '#ATsobo2020', '#appalachiantrail2020', '#appalachianlife', '#ATclassof2020', '#trektheat', '#thetrek', '#withguthook', '#hikemoreworryless', '#optoutside', '#wekeepyououtdoors', '#hikertrash', '#thruhike', '#hikerlife', '#getlost', '#backpacking', '#hikerlife', '#outdoorlife', '#hiking', '#adventure', '#wanderlust']","One year ago, I completed a journey of a lifetime. One year ago, I became a thru-hiker. One year ago, I completed what some people only dream of. One year ago, I fulfilled a dream I didn’t think I could complete. One year ago, I proved myself wrong. <br>I’m so thankful I had the opportunity to do this hike. I’m so thankful that I got to experience the amazing things the Appalachian Trail. Most of all, I’m thankful I got to hike with my dad. The Appalachian Trail will always hold a special place in my heart. <br>•<br>•<br>•<br>•<br>•<br>#appalachiantrail #AT2020 #ATnobo2020 #ATFlipFlop2020 #ATsobo2020 #appalachiantrail2020 #appalachianlife #ATclassof2020 #trektheat #thetrek #withguthook #hikemoreworryless #optoutside #wekeepyououtdoors #hikertrash #thruhike #hikerlife #getlost #backpacking #hikerlife #outdoorlife #hiking #adventure #wanderlust"
2719494357327397417,CW9lbWhLcIp,1808386,33,1638409011,"['#AppalachianTrail', '#atnobo2020']","DAYS 50-52: Roanoke (10,505.5) HAPPY THANKSGIVING! I drove to Roanoke, stopping for fuel near Atkins, where the #AppalachianTrail crosses I-81. I had stopped at this very truck stop for breakfast during my #atnobo2020 thruhike. A sentimental moment.  Then, to my sister’s place in Roanoke where all my siblings were together w me for the first time in several years…"
2714391139606151584,CWrdFwpsUGg,18048432,489,1637800661,"['#appalachiantrail', '#AT2020', '#ATnobo2020', '#ATFlipFlop2020', '#ATsobo2020', '#appalachiantrail2020', '#appalachianlife', '#ATclassof2020', '#trektheat', '#thetrek', '#withguthook', '#hikemoreworryless', '#optoutside', '#wekeepyououtdoors', '#hikertrash', '#thruhike', '#hikerlife', '#getlost', '#backpacking', '#hikerlife', '#outdoorlife', '#hiking', '#adventure', '#wanderlust']","One year ago, I walked 2,000 miles. <br>Holy shit, how time flies.<br>•<br>•<br>•<br>#appalachiantrail #AT2020 #ATnobo2020 #ATFlipFlop2020 #ATsobo2020 #appalachiantrail2020 #appalachianlife #ATclassof2020 #trektheat #thetrek #withguthook #hikemoreworryless #optoutside #wekeepyououtdoors #hikertrash #thruhike #hikerlife #getlost #backpacking #hikerlife #outdoorlife #hiking #adventure #wanderlust"
2703287057170957863,CWEAUGAlgYn,183319376,81,1636476951,"['#atnobo2020', '#maine', '#takeahike', '#hiker', '#hikersofinstagram', '#hikerlife', '#appalachiantrail', '#appalachianmountains', '#summertime', '#missingthemountains']",Missing Maine 🖤<br>.<br>.<br>.<br>.<br>#atnobo2020 #maine #takeahike #hiker #hikersofinstagram #hikerlife #appalachiantrail #appalachianmountains #summertime #missingthemountains
2699652824892341328,CV3F_DclnxQ,28944053264,86,1636043717,"['#appalachiantrail', '#atthruhike', '#atnobo2020', '#longcreekfalls', '#hikegeorgia', '#georgiatomaine', '#hikertrash', '#backpacklife', '#traillife', '#backpacking', '#backpackgeorgia', '#takeahike', '#naturedude', '#fireflyhikes', '#gratefullhiker', '#furthershuttle', '#waterfalls', '#waterfallsofinstagram']","Throwback Thursday,Appalachian trail long creek falls Georgia,March 17th 2020 ""Firefly"" and I started my 2020 thruhike together,needless to say things went bad real quick and we pulled of trail,I decided not to hike when everything was closed,we still had a great hike.....I'll never stop hiking the A.T.<br>#appalachiantrail #atthruhike #atnobo2020<br>#longcreekfalls #hikegeorgia #georgiatomaine #hikertrash #backpacklife #traillife #backpacking #backpackgeorgia #takeahike #naturedude #fireflyhikes #gratefullhiker #furthershuttle #waterfalls #waterfallsofinstagram"
2691112547209437194,CVYwJqDA-AK,34433743626,5,1635025636,"['#graysonhighlands', '#ponies', '#thruhikers', '#atnobo2020']",#graysonhighlands #ponies #thruhikers #atnobo2020
2674991271761098947,CUfemOSlzjD,183319376,321,1633103830,"['#appalachiantrail', '#appalachianmountains', '#atnobo2020', '#atnobo2021', '#atsobo2021', '#hikersofinstagram', '#atthruhike2021', '#atthruhike', '#athiker', '#hikerlife', '#appalachian', '#appalachiantrail2021', '#maine', '#100milewilderness', '#werehikers', '#hikershike', '#getoutside', '#happyplace']","This photo was taken my last week at Shaw’s. I was in my happy place on the Appalachian trail surrounded by people i barely knew, yet they all felt like old friends🪶 <br>.<br>.<br>.<br>📷: @meas.k <br>.<br>.<br>#appalachiantrail #appalachianmountains #atnobo2020 #atnobo2021 #atsobo2021 #hikersofinstagram #atthruhike2021 #atthruhike #athiker #hikerlife #appalachian_explorers #appalachiantrail2021 #maine #100milewilderness #werehikers #hikershike #getoutside #happyplace"
2667710058608397195,CUFnCoHFwuL,5405987785,92,1632235842,"['#michiganmillie', '#atnobo2020']",Just had the pleasure of visiting with #michiganmillie and @tconstantine3 - friends I met while hiking the AT. And it has me missing trail so much. So here are just a few pics from the trail that make me smile. #atnobo2020
2666993741135621389,CUDEK1elC0N,18188342,125,1632150450,"['#appalachiantrail', '#atclassof2020', '#atnobo2020', '#thruhike', '#thruhiker', '#game', '#lifeisbeautiful']","One year ago I finished the adventure of a lifetime. That little strip of dirt, 18” wide and 2,193 miles long, completely changed my life. I remember finding the trail sign at Newfound Gap in the Smokies (Feb 11, 2019) that inspired me to google “hike the Appalachian Trail”. I remember when I was in Chicago with a show the next month and told somebody else for the first time that I was considering hiking the whole AT the next year. And I remember sitting in the beach chairs in Logan Airport’s Terminal C, looking out on the runways, about to fly down to Atlanta to start the hike, and KNOWING that this was a big moment. I am such a different person now than I was at any of those three points. And I’m even more different today, but every choice I make is influenced by lessons I learned and people I met on trail. ❤️ Free Fall #appalachiantrail #atclassof2020 #atnobo2020 #thruhike #thruhiker #game #lifeisbeautiful"
