Post_ID,Post_Code,Owner_ID,Likes,Time_Stamp,Tags,Caption
2721048014267409530,CXDGsCTMOR6,18048432,361,1638594222,"['#appalachiantrail', '#AT2020', '#ATnobo2020', '#ATFlipFlop2020', '#ATsobo2020', '#appalachiantrail2020', '#appalachianlife', '#ATclassof2020', '#trektheat', '#thetrek', '#withguthook', '#hikemoreworryless', '#optoutside', '#wekeepyououtdoors', '#hikertrash', '#thruhike', '#hikerlife', '#getlost', '#backpacking', '#hikerlife', '#outdoorlife', '#hiking', '#adventure', '#wanderlust']","One year ago, I completed a journey of a lifetime. One year ago, I became a thru-hiker. One year ago, I completed what some people only dream of. One year ago, I fulfilled a dream I didn’t think I could complete. One year ago, I proved myself wrong. <br>I’m so thankful I had the opportunity to do this hike. I’m so thankful that I got to experience the amazing things the Appalachian Trail. Most of all, I’m thankful I got to hike with my dad. The Appalachian Trail will always hold a special place in my heart. <br>•<br>•<br>•<br>•<br>•<br>#appalachiantrail #AT2020 #ATnobo2020 #ATFlipFlop2020 #ATsobo2020 #appalachiantrail2020 #appalachianlife #ATclassof2020 #trektheat #thetrek #withguthook #hikemoreworryless #optoutside #wekeepyououtdoors #hikertrash #thruhike #hikerlife #getlost #backpacking #hikerlife #outdoorlife #hiking #adventure #wanderlust"
2714391139606151584,CWrdFwpsUGg,18048432,489,1637800661,"['#appalachiantrail', '#AT2020', '#ATnobo2020', '#ATFlipFlop2020', '#ATsobo2020', '#appalachiantrail2020', '#appalachianlife', '#ATclassof2020', '#trektheat', '#thetrek', '#withguthook', '#hikemoreworryless', '#optoutside', '#wekeepyououtdoors', '#hikertrash', '#thruhike', '#hikerlife', '#getlost', '#backpacking', '#hikerlife', '#outdoorlife', '#hiking', '#adventure', '#wanderlust']","One year ago, I walked 2,000 miles. <br>Holy shit, how time flies.<br>•<br>•<br>•<br>#appalachiantrail #AT2020 #ATnobo2020 #ATFlipFlop2020 #ATsobo2020 #appalachiantrail2020 #appalachianlife #ATclassof2020 #trektheat #thetrek #withguthook #hikemoreworryless #optoutside #wekeepyououtdoors #hikertrash #thruhike #hikerlife #getlost #backpacking #hikerlife #outdoorlife #hiking #adventure #wanderlust"
2638748114636201656,CSet234n164,1992912853,131,1628783309,"['#appalachiantrail', '#appalachianmountains', '#appalachiantrail2021', '#appalachian', '#atthruhike', '#atthruhike2021', '#atnobo21', '#atsobo2020', '#hikersofinstagram', '#hikerlife', '#letshike', '#shawshikerhostel', '#100milewilderness', '#maine']",Happy hikers going into the 100 mile wilderness! 🍃🍃<br>.<br>.<br>Plus Michigan Milly came to visit us !! <br>.<br>.<br>#appalachiantrail #appalachianmountains #appalachiantrail2021 #appalachian_explorers #atthruhike #atthruhike2021 #atnobo21 #atsobo2020 #hikersofinstagram #hikerlife #letshike #shawshikerhostel #100milewilderness #maine
2634588626177387687,CSP8GWYlmyn,1992912853,97,1628287460,"['#100milewilderness', '#shawshikerhostel', '#appalachiantrail', '#appalachianmountains', '#appalachiantrail2021', '#appalachian', '#atthruhike', '#athiker', '#hiker', '#hikerlife', '#hostellife', '#atnobo21', '#atsobo2020']",NOBOS going into the 100 mile wilderness to complete there thru hike! <br>.<br>.<br>.<br>.<br>#100milewilderness #shawshikerhostel #appalachiantrail #appalachianmountains #appalachiantrail2021 #appalachian_explorers #atthruhike #athiker #hiker #hikerlife #hostellife #atnobo21 #atsobo2020
2616659241159580118,CRQPbdXj1nW,4373833948,77,1626150110,"['#at', '#appalachiantrail', '#atsobo', '#atsobo2020', '#jockeysridge', '#obx']","After meeting on the Appalachian Trail about a year ago, we all got together to relax on the beach and climb one last dune peak in the Outter Banks.  We had a fun week catching up and reminiscing about the exuberant triumphs and daunting challenges of the journey we all undertook last year.  And we were treated to a few more spectacular views here at the dunes of Jockey’s Ridge to end our week together.<br><br>#at #appalachiantrail #atsobo #atsobo2020 #jockeysridge #obx"
2593117891777116197,CP8mvvQFbgl,18048432,114,1623343763,"['#appalachiantrail', '#AT2020', '#ATnobo2020', '#ATsobo2020', '#appalachiantrail2020', '#appalachianlife', '#ATclassof2020', '#trektheat', '#thetrek', '#withguthook', '#hikemoreworryless', '#optoutside', '#wekeepyououtdoors', '#hikertrash', '#thruhike', '#hikerlife', '#getlost', '#backpacking', '#hikerlife', '#outdoorlife', '#hiking', '#adventure', '#wanderlust']",Wide open spaces heal the heart and soul 😌😌<br>•<br>•<br>•<br>•<br>•<br>•<br>#appalachiantrail #AT2020 #ATnobo2020 #ATsobo2020 #appalachiantrail2020 #appalachianlife #ATclassof2020 #trektheat #thetrek #withguthook #hikemoreworryless #optoutside #wekeepyououtdoors #hikertrash #thruhike #hikerlife #getlost #backpacking #hikerlife #outdoorlife #hiking #adventure #wanderlust
2592996450276536324,CP8LIiClPAE,18048432,160,1623329286,"['#appalachiantrail', '#AT2020', '#ATnobo2020', '#ATFlipFlop2020', '#ATsobo2020', '#appalachiantrail2020', '#appalachianlife', '#ATclassof2020', '#trektheat', '#thetrek', '#withguthook', '#hikemoreworryless', '#optoutside', '#wekeepyououtdoors', '#hikertrash', '#thruhike', '#hikerlife', '#getlost', '#backpacking', '#hikerlife', '#outdoorlife', '#hiking', '#adventure', '#wanderlust']","I’m back in my happy place! ⛰ 🏕 🥾 <br>•<br>•<br>•<br>This place is nostalgic. Being back on the Appalachian Trail, finishing this last little section... It’s amazing. I’ve been saying I’m a thru-hiker for 6 months, but I guess I am now truly a AT thru-hiker. <br>•<br>•<br>•<br>•<br><br>#appalachiantrail #AT2020 #ATnobo2020 #ATFlipFlop2020 #ATsobo2020 #appalachiantrail2020 #appalachianlife #ATclassof2020 #trektheat #thetrek #withguthook #hikemoreworryless #optoutside #wekeepyououtdoors #hikertrash #thruhike #hikerlife #getlost #backpacking #hikerlife #outdoorlife #hiking #adventure #wanderlust"
2592232595208473356,CP5dc-klwsM,18048432,156,1623238227,"['#appalachiantrail', '#AT2020', '#ATnobo2020', '#ATFlipFlop2020', '#ATsobo2020', '#appalachiantrail2020', '#appalachianlife', '#ATclassof2020', '#trektheat', '#thetrek', '#withguthook', '#hikemoreworryless', '#optoutside', '#wekeepyououtdoors', '#hikertrash', '#thruhike', '#hikerlife', '#getlost', '#backpacking', '#hikerlife', '#outdoorlife', '#hiking', '#adventure', '#wanderlust']","I got to see the ponies finally!!! 🐴 <br>•<br>•<br>•<br>One of the things I was looking forward to the most last year was hanging out with the ponies. Unfortunately we had to skip this section due to high snow and icy ground in the park and making it difficult to traverse. BUT we made sure to come back and finish this section so we could say we hiked all the miles but also cause we wanted to see the ponies like we were promised. 🥰 I was so happy we got to see them at Massie Gap and then again a little further up on trail, but they decided to run away when we got close the second time since there was a baby with them. Oh well at least I got to see them twice in one day! <br>•<br>•<br>•<br>•<br>•<br> #appalachiantrail #AT2020 #ATnobo2020 #ATFlipFlop2020 #ATsobo2020 #appalachiantrail2020 #appalachianlife #ATclassof2020 #trektheat #thetrek #withguthook #hikemoreworryless #optoutside #wekeepyououtdoors #hikertrash #thruhike #hikerlife #getlost #backpacking #hikerlife #outdoorlife #hiking #adventure #wanderlust"
2591866753073483496,CP4KRRiFw7o,18048432,189,1623194615,"['#appalachiantrail', '#AT2020', '#ATnobo2020', '#ATFlipFlop2020', '#ATsobo2020', '#appalachiantrail2020', '#appalachianlife', '#ATclassof2020', '#trektheat', '#thetrek', '#withguthook', '#hikemoreworryless', '#optoutside', '#wekeepyououtdoors', '#hikertrash', '#thruhike', '#hikerlife', '#getlost', '#backpacking', '#hikerlife', '#outdoorlife', '#hiking', '#adventure', '#wanderlust']","Guess who’s backkkkkkk!!!<br>•<br>•<br>•<br>Unfortunately we missed trail days, but we’re here for a better reason! 😎 Stay tuned!<br>•<br>•<br>•<br>•<br><br>#appalachiantrail #AT2020 #ATnobo2020 #ATFlipFlop2020 #ATsobo2020 #appalachiantrail2020 #appalachianlife #ATclassof2020 #trektheat #thetrek #withguthook #hikemoreworryless #optoutside #wekeepyououtdoors #hikertrash #thruhike #hikerlife #getlost #backpacking #hikerlife #outdoorlife #hiking #adventure #wanderlust"
2590175723190135100,CPyJxjOlqk8,29647487890,100,1622993029,"['#appalachiantrailthruhike', '#appalachiantrailclassof2020', '#atnobo2020', '#atsobo2020', '#womenwhohike']","A year ago today, I climbed to the top of Springer Mountain and began this silly, magnificent, life-altering walk. My heart aches to go back, to do it again, to retrace my memories and to make new ones. I want to sleep directly under the stars and meet more people who follow their big dreams. I want to eat more stacks of pancakes before leaving towns and feel my heart pump as I spot the sign on the top of Katahdin. I’ve almost forgotten how amazing a shower feels after hiking for days. I want to walk this trail over and over. I get asked whether I am forgetting the bad, that it couldn’t be this fantastic. Not all adventures are pony rides in May sunshine, said J.R. Tolkien in the Hobbit. But even when I busted my wrist or my knee wanted to give out, I didn’t want to be anywhere else. I lived an adventure every day. I never knew what view I would find at the top of the next mountain, who I would meet and what would happen. I appreciated living, and was present for it. I itch for that kind of magic. I aim to continue living a life so full. <br><br>#appalachiantrailthruhike #appalachiantrailclassof2020 #atnobo2020 #atsobo2020 #womenwhohike"
